,s_off,h_off,h_diag,s0,t1
0,0.44568,-0.4739446267682157,-0.9489771654729566,-0.9842577833553569,-0.8569644586245148
1,0.44256,-0.47056336133147736,-0.9483688027316932,-0.9836208990011996,-0.8571423676094572
2,0.44862,-0.46816057496163554,-0.9486059286441764,-0.9780111441273845,-0.8713507085540659
3,0.43632,-0.47479173879248715,-0.948983105649113,-0.9912657655965245,-0.8412421353545024
4,0.43954,-0.4723423659365378,-0.9496655181847403,-0.9878210290240479,-0.8516631913931457
5,0.44304,-0.475020453341799,-0.9492822446958376,-0.9870153966886827,-0.8515185854532437
6,0.44136,-0.47105475860611146,-0.9492941276550301,-0.9854227162271337,-0.8560779196780011
7,0.44168,-0.4721865838812387,-0.9479797716829343,-0.9850773788664426,-0.8521872542658253
8,0.4454,-0.4721993892789077,-0.9497893553197239,-0.9838029227885924,-0.8611431050140934
9,0.44272,-0.4709143054956142,-0.9487293953328,-0.9840050050102681,-0.8574057741838678
